job_id,change_status,last_changed_at,update_count,is_active,recommendation,application_priority_score,door_score,landing_score,career_score,relevance_score,qualification_score,urgency_score,application_friction_score,eligibility_confidence,remote_confidence,source_confidence,extraction_confidence,title,company,location_raw,salary_text,posted_at,posting_status,application_deadline,normalized_title_family,career_lane,search_profile,resume_variant,remote_gate,employment_type,employment_class,employment_reason,source_verification,source_verification_reason,canonical_verified,recall_reason,travel_percent,timezone_requirement,work_auth_gate,work_authorization_requirement,salary_annual_mid,canonical_source_site,canonical_url,apply_url,application_status,notes,first_seen,last_seen
JE7C00C6D89B78B,NEW,2026-09-07T19:24:45+00:00,0,1,SKIP_HARD_GATE,76.2,84.0,83.2,86.0,96.5,90.0,40.0,85.0,95.4,100.0,94.0,95.0,Healthcare Policy Consultant - Indianapolis Health (Remote),Milliman,Remote,,,unknown,,healthcare coordinator,healthcare_access,P0-healthcare-operations-access,enrollment_operations,reject,,internship,internship,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,no recall-stage title archetype,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4461169868/,https://www.linkedin.com/jobs/view/4461169868/,new,,2026-09-07T19:24:45+00:00,2026-09-07T19:24:45+00:00
J28865F90B9EE09,NEW,2026-09-07T19:24:56+00:00,0,1,VERIFY_SOURCE,74.2,81.2,79.2,86.0,96.5,90.0,40.0,85.0,94.9,98.0,94.0,95.0,Healthcare Data and Analytics Specialist - Remote - USA,FullStack,Remote,,,unknown,,healthcare coordinator,healthcare_access,P0-healthcare-operations-access,enrollment_operations,pass,,full_time_employee,full-time role; no contractor marker detected,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: healthcare + specialist,,,review,"pplicants must be currently authorized to work in the United States on a full-time basis. FullStack will not sponsor applicants for work visas now or in the future. What We Offer Competitive Salary. Paid Time Off (vacation, sick leave. parental leave, and holidays). 100% remote work. The ability to work with leading st",,linkedin,https://www.linkedin.com/jobs/view/4453377636/,https://www.linkedin.com/jobs/view/4453377636/,new,,2026-09-07T19:24:56+00:00,2026-09-07T19:25:31+00:00
J99517CF648EEB3,UPDATED,2026-09-07T19:10:04+00:00,1,1,VERIFY_SOURCE,73.1,79.7,85.2,67.0,88.5,93.0,40.0,85.0,93.6,98.0,94.0,95.0,Intake Specialist,Float Health Brasil,Remote,,,unknown,,intake specialist,healthcare_access,P0-healthcare-operations-access,enrollment_operations,pass,,full_time_employee,full-time role; no contractor marker detected,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: intake + specialist,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4462620620/,https://www.linkedin.com/jobs/view/4462620620/,new,,2026-09-07T18:56:45+00:00,2026-09-07T19:10:04+00:00
JD057541ACD0DA9,NEW,2026-09-07T19:09:43+00:00,0,1,VERIFY_SOURCE,73.1,79.7,85.2,67.0,88.5,93.0,40.0,85.0,93.6,98.0,94.0,95.0,Intake Specialist,Float Health Brasil,Remote,,,unknown,,intake specialist,healthcare_access,P0-healthcare-operations-access,enrollment_operations,pass,,full_time_employee,full-time role; no contractor marker detected,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: intake + specialist,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4462615680/,https://www.linkedin.com/jobs/view/4462615680/,new,,2026-09-07T19:09:43+00:00,2026-09-07T19:09:43+00:00
J1089BD11FEFDFE,NEW,2026-09-07T19:09:48+00:00,0,1,VERIFY_SOURCE,72.6,79.0,79.4,78.0,96.5,91.0,40.0,85.0,90.1,78.0,94.0,95.0,Intake Operations Support Specialist,Optum,Remote,,,unknown,,intake support specialist,healthcare_access,P0-volume-healthcare-support,healthcare_qa_or_enrollment_ops,pass,,full_time_employee,full-time role; no contractor marker detected,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: intake + specialist,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4463659089/,https://www.linkedin.com/jobs/view/4463659089/,new,,2026-09-07T19:09:48+00:00,2026-09-07T19:09:48+00:00
J8B6D34191B87A5,UPDATED,2026-09-07T19:09:25+00:00,1,1,REVIEW_EMPLOYMENT,72.5,78.9,83.2,69.0,96.5,90.0,40.0,85.0,94.9,98.0,94.0,95.0,Care Connector,AmeriHealth Caritas,Remote,,,unknown,,care coordinator,healthcare_access,P0-healthcare-operations-access,enrollment_operations,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,no recall-stage title archetype,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4462340113/,https://www.linkedin.com/jobs/view/4462340113/,new,,2026-09-07T19:08:24+00:00,2026-09-07T19:09:25+00:00
J7913C83BF75E3E,NEW,2026-09-07T19:23:48+00:00,0,1,SKIP_HARD_GATE,72.0,78.2,83.0,67.0,100.0,90.0,40.0,85.0,95.0,95.0,94.0,95.0,Healthcare Authorization Specialist,"Daley And Associates, LLC",Remote,,,unknown,,authorization specialist,healthcare_access,P0-healthcare-operations-access,enrollment_operations,reject,,fixed_term_employee,fixed-term/contract arrangement stated,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: healthcare + specialist,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4458761345/,https://www.linkedin.com/jobs/view/4458761345/,new,,2026-09-07T19:23:48+00:00,2026-09-07T19:23:48+00:00
J47D376528F13C8,NEW,2026-09-07T19:09:31+00:00,0,1,REVIEW_EMPLOYMENT,71.7,77.8,76.8,80.0,96.5,85.0,40.0,85.0,79.1,40.0,94.0,95.0,"HIM Health Record Associate, Remote, Health Information Management, FT, 08:30A-5P",Baptist Health,Remote,,,unknown,,health information specialist,healthcare_access,P0-health-information-quality-access,healthcare_qa,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: health information + associate,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4463650040/,https://www.linkedin.com/jobs/view/4463650040/,new,,2026-09-07T19:09:31+00:00,2026-09-07T19:09:31+00:00
JCF281AD7AD7FD0,NEW,2026-09-07T19:24:24+00:00,0,1,REVIEW_EMPLOYMENT,71.1,77.0,73.2,86.0,96.5,80.0,40.0,85.0,77.9,40.0,94.0,95.0,Application Analyst - Maestro Care Beaker - Level 2 - Remote,Duke University Health System,Remote,,,unknown,,care coordinator,healthcare_access,P0-healthcare-operations-access,enrollment_operations,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,no recall-stage title archetype,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4461936755/,https://www.linkedin.com/jobs/view/4461936755/,new,,2026-09-07T19:24:24+00:00,2026-09-07T19:24:24+00:00
J2BA4E58CC18E11,NEW,2026-09-07T19:09:50+00:00,0,1,REVIEW_EMPLOYMENT,70.5,76.9,76.5,78.0,96.5,85.0,40.0,79.0,79.1,40.0,94.0,95.0,"HIM Protected Health Info Specialist, Remote, Health Information Management, FT, 08:30A-5P",Baptist Health,Remote,,,unknown,,health information specialist,healthcare_access,P0-health-information-quality-access,healthcare_qa,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: health information + specialist,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4463650042/,https://www.linkedin.com/jobs/view/4463650042/,new,,2026-09-07T19:09:50+00:00,2026-09-07T19:09:50+00:00
